CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1095573,BROADWAY,ST NICHOLAS AVENUE,MANHATTAN,112,2138,165,DOT-561446-B6T7,08/18/2022,No,,,No,,No
1092762,BROADWAY,WEST 135 STREET,MANHATTAN,109,1988,74,311-06180838,05/06/2021,No,,,No,,Yes
1105162,BROADWAY,HAVEMEYER STREET,BROOKLYN,301,2446,56,311-21317719,12/27/2024,Yes,01/16/2025,Other,No,,No
1091551,BROADWAY,WEST 72 STREET,MANHATTAN,107,1163,7503,311-15178294,07/15/2023,Yes,08/18/2023,Other,No,,No
1178237,CANAL STREET,EAST BROADWAY,MANHATTAN,103,284,25,311-09589590,03/08/2022,No,,,No,,No
1087102,BROADWAY,READE STREET,MANHATTAN,101,150,38,311-20522985,10/22/2024,Yes,11/04/2024,Other,No,,No
1139939,BROADWAY,SOUTH 9 STREET,BROOKLYN,301,2151,18,311-04272017,10/13/2020,Yes,11/23/2020,Other,No,,No
1091721,BROADWAY,WEST 63 STREET,MANHATTAN,107,1116,1,Pick-Up,02/07/2023,Yes,02/07/2023,,No,,No
1095575,BROADWAY,ST NICHOLAS AVENUE,MANHATTAN,112,2125,1,311-10821899,06/28/2022,No,,,No,,No
1105764,BROADWAY,KEAP STREET,BROOKLYN,301,2153,1,311-16501598,11/06/2023,Yes,11/30/2023,Other,No,,No
1089397,5 AVENUE,BROADWAY,MANHATTAN,105,852,1,DOT Internal,12/15/2022,Yes,01/06/2023,Other,No,,No
1086453,EAST BROADWAY,MARKET STREET,MANHATTAN,103,280,27,311-10160369,05/02/2022,Yes,06/11/2022,Other,No,,No
1085095,BROADWAY,GREAT JONES STREET,MANHATTAN,102,535,7501,DOT-497626-N0H7,04/06/2021,Yes,04/28/2021,Other,No,,No
1092642,BROADWAY,WEST 112 STREET,MANHATTAN,109,1884,1,311-19260939,07/08/2024,Yes,07/24/2024,Other,No,,No
1092188,BROADWAY,WEST 145 STREET,MANHATTAN,109,2077,1,311-09686468,03/17/2022,Yes,04/30/2022,Asphalt Ramp,No,,No
1087454,BROADWAY,FRANKLIN STREET,MANHATTAN,101,172,1,311-13305613,01/29/2023,Yes,02/09/2023,Other,No,,No
1105165,BROADWAY,HAVEMEYER STREET,BROOKLYN,301,2140,21,311-21317719,12/27/2024,Yes,01/13/2025,Other,No,,No
1091708,BROADWAY,WEST 61 STREET,MANHATTAN,107,1113,47,311-13533074,02/19/2023,Yes,03/23/2023,Other,No,,No
1105754,BROADWAY,SOUTH 9 STREET,BROOKLYN,301,2152,2,311-04272017,10/13/2020,Yes,11/23/2020,Other,No,,No
1111788,BROADWAY,COVERT STREET,BROOKLYN,316,3420,8,311-08352429,11/10/2021,Yes,12/23/2021,Other,No,,No
1089485,BROADWAY,EAST 19 STREET,MANHATTAN,105,847,7501,311-18257879,04/13/2024,Yes,06/04/2024,Asphalt Ramp,No,,No
1091620,BROADWAY,WEST 68 STREET,MANHATTAN,107,1140,7502,311-18384849,04/25/2024,Yes,05/01/2024,Other,No,,No
1096267,BROADWAY,FT WASHINGTON AVENUE,MANHATTAN,112,2137,1,311-10890556,07/03/2022,Yes,08/03/2022,Other,No,,No
1092713,BROADWAY,WEST 121 STREET,MANHATTAN,109,1992,13,311-13145626,01/15/2023,Yes,02/03/2023,Other,No,,No
1113704,BROADWAY,CONWAY STREET,BROOKLYN,316,1544,21,DOT-442826-K7B3,12/12/2019,Yes,03/24/2020,Other,No,,No
1082621,BROADWAY,DONGAN AVENUE,QUEENS,404,1580,4,311-18472242,05/03/2024,No,,,No,,No
1087858,BEAVER STREET,BROADWAY,MANHATTAN,101,12,28,DOT Internal,06/15/2023,Yes,06/15/2023,Other,No,,No
1173430,BROADWAY,RALPH AVENUE,BROOKLYN,304,3293,43,311-09594446,03/08/2022,No,,,No,,No
