CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1370880,LENOX AVENUE,WEST 135 STREET,MANHATTAN,110,1733,1,311-04655261,11/20/2020,No,,,No,,No
1169113,75 PLACE,JUNIPER BOULEVARD NORTH,QUEENS,405,2932,38,311-11507005,08/24/2022,Yes,08/30/2022,Other,No,,No
1031055,ONDERDONK AVENUE,PALMETTO STREET,QUEENS,405,3458,24,311-09760132,03/24/2022,Yes,04/28/2022,Other,No,,No
1173941,EASTERN PARKWAY,PLAZA STREET,BROOKLYN,355,1172,7502,311-13130096,01/13/2023,Yes,02/23/2023,Other,No,,No
1033801,BEND,TROUTMAN STREET,BROOKLYN,304,3170,26,311-08298441,11/05/2021,Yes,12/15/2021,Other,No,,No
1177141,BOSTON ROAD,CLINTON AVENUE,BRONX,203,2615,34,DOT-669392-Q5G3,10/08/2024,No,,,No,,No
1105165,BROADWAY,HAVEMEYER STREET,BROOKLYN,301,2140,21,311-21317719,12/27/2024,Yes,01/13/2025,Other,No,,No
1098132,HEUSDEN STREET,LINDEN AVENUE,STATEN ISLAND,501,1211,1,DOT-513018-F8S0,08/04/2021,Yes,10/19/2021,Other,No,,No
1091708,BROADWAY,WEST 61 STREET,MANHATTAN,107,1113,47,311-13533074,02/19/2023,Yes,03/23/2023,Other,No,,No
1096818,EAST 81 STREET,EAST END AVENUE,MANHATTAN,108,1589,34,311-04741969,11/30/2020,Yes,01/13/2021,Other,No,,No
1107216,HICKS STREET,STATE STREET,BROOKLYN,302,260,57,1-1-1717718341,05/22/2019,Yes,07/30/2019,Other,Yes,,Yes
1113145,BERGEN STREET,NEW YORK AVENUE,BROOKLYN,308,1221,1,311-12769034,12/11/2022,Yes,12/28/2022,,No,,No
1169179,80 STREET,JUNIPER BOULEVARD NORTH,QUEENS,405,2967,41,311-13429136,02/09/2023,No,,,No,,No
1071398,34 AVENUE,FRANCIS LEWIS BOULEVARD,QUEENS,411,6077,1,311-10154363,05/02/2022,Yes,06/15/2022,Other,No,,No
1015487,PUGSLEY AVENUE,SEWARD AVENUE,BRONX,209,3607,17,311-01756811,02/03/2020,Yes,03/05/2020,,No,,No
1095904,INDIAN ROAD,WEST 215 STREET,MANHATTAN,112,2250,50,311-15328510,07/28/2023,Yes,10/12/2023,,No,,No
1095754,FT WASHINGTON AVENUE,HAVEN AVENUE,MANHATTAN,112,2138,79,311-13719159,03/08/2023,Yes,03/22/2023,Other,No,,No
1043359,84 STREET,90 ROAD,QUEENS,409,8963,24,311-10267502,05/13/2022,No,,,No,,No
1014677,ESPLANADE,MACE AVENUE,BRONX,211,4455,39,311-20862392,11/19/2024,No,,,No,,No
1096740,1 AVENUE,EAST 75 STREET,MANHATTAN,108,1469,46,DOT-639291-M0K5,03/07/2024,Yes,04/10/2024,Other,No,,No
1105754,BROADWAY,SOUTH 9 STREET,BROOKLYN,301,2152,2,311-04272017,10/13/2020,Yes,11/23/2020,Other,No,,No
1151831,BATH AVENUE,HYLAN BOULEVARD,STATEN ISLAND,502,3325,62,311-12441785,11/12/2022,Yes,12/06/2022,Other,No,,No
1035864,JUNO STREET,YELLOWSTONE BOULEVARD,QUEENS,406,3183,2,DOT-465041-S7K7,07/21/2020,No,,,No,,No
1158236,VETERANS ROAD WEST,BRICKTOWN WAY,STATEN ISLAND,503,7487,50,DOT-632723-G3F7,01/18/2024,No,,,No,,No
1173427,4 AVENUE,SHORE ROAD DRIVE,BROOKLYN,310,5826,51,DOT-509177-W6H7,07/02/2021,No,,,No,,No
1094098,5 AVENUE,EAST 116 STREET,MANHATTAN,110,1622,1,DOT-553846-Q0Y9,07/05/2022,Yes,07/18/2022,Other,No,,No
1091934,COLUMBUS AVENUE,WEST 90 STREET,MANHATTAN,107,1220,29,DOT-575790-X0D6,12/15/2022,No,,,No,,No
1127082,EAST 17 STREET,WALDORF COURT,BROOKLYN,314,6692,36,DOT-498694-V9S7,04/14/2021,No,,,No,,No
1203878,ALBION AVENUE,HILLYER STREET,QUEENS,404,1537,4,DOT-478560-J9X9,10/16/2020,No,,,No,,No
1111788,BROADWAY,COVERT STREET,BROOKLYN,316,3420,8,311-08352429,11/10/2021,Yes,12/23/2021,Other,No,,No
1018209,BRUSH AVENUE,ROHR PLACE,BRONX,210,5559,120,311-16615978,11/16/2023,No,,,No,,No
1083301,CROSS BAY BOULEVARD,NOEL ROAD,QUEENS,414,15311,17,311-16404032,10/30/2023,No,,,No,,No
